店名,郵便番号,住所,電話番号,備考
サロン・ド・テ ロンド,106-0032,東京都港区六本木7-22-2 国立新美術館2F,0357708162,
進々堂 京大北門前,606-8224,京都府京都市左京区北白川追分町88,0757014121,
The Cream of the Crop Coffee(ザ クリーム オブ ザ クロップ コーヒー) 清澄白河ロースター,135-0021,東京都江東区白河4-5-4,0358098523,
CAFE MEURSAULT(ムルソー),111-0034,東京都台東区雷門2-1-5 中村ビル,0338438008,
但馬屋珈琲店本店,160-0023,東京都新宿区西新宿1-2-6,0333420881,
ピーターラビット(TM) ガーデンカフェ 自由が丘,152-0035,東京都目黒区自由が丘1-25-20 自由が丘MYU1F,0337254118,
ニューヨークラウンジ,453-0872,愛知県名古屋市中村区平池町4-60-7 ストリングスホテル名古屋,0525890787,
銀座 福禄寿,104-0061,東京都中央区銀座2-8-8,0355243377,
胡桃堂喫茶店,185-0012,東京都国分寺市本町2-17-3,0424010433,
MATCHA STAND MARUNI,104-0045,東京都中央区築地4-14-18 妙泉寺ビル1F,0362643835,
うつわとカフェ Lim.,153-0041,東京都目黒区駒場3-11-14 1F,0334698555,
スターバックスコーヒーよみうりランドグッジョバ!!店,206-0812,東京都稲城市矢野口4015-1 よみうりランド,0442998576,
PARADISE ALLEY BREAD & CO (パラダイス アレイ ブレッドカンパニー),248-0006,神奈川県鎌倉市小町1-13-10 (鎌倉中央食品市場レンバイ内),0467847203,
TOOTH TOOTH FISH IN THE FOREST (トゥース トゥース フィッシュ イン ザ フォレスト ),650-0042,兵庫県神戸市中央区波止場町2-8,0783341820,
foru cafe(フォル カフェ) 本店,169-0051,東京都新宿区西早稲田2-4-26 1F,0362338739,
マールブランシュ ジェイアール京都伊勢丹 3F(ロマンの森カフェ),600-8216,京都府京都市下京区烏丸通塩小路下ル東塩小路町 ジェイアール京都伊勢丹3F,0753521111,
ONIJUS COFFEE VILLAGE(オニジャス コーヒー ヴィレッジ),584-0005,大阪府富田林市喜志町5-10-8,0721238118,
茜屋珈琲店 旧道店,389-0102,長野県北佐久郡軽井沢町大字軽井沢666,0267424367,
雪印パーラー 本店,060-0002,北海道札幌市中央区北2条西3-1-31 太陽生命札幌ビル1F,0112517530,
悟空茶荘,231-0023,神奈川県横浜市中区山下町130,0456817776,
ミルク&パフェ よつ葉ホワイトコージ 札幌ステラプレイス店,060-0005,北海道札幌市中央区北5条西3 札幌ステラプレイスセンター B1F,0112095577,
京都モダンテラス,606-8342,京都府京都市左京区岡崎最勝寺町13 ロ-ムシアタ-京都 パ-クプラザ2F,0757540234,
C&C BREAKFAST OKINAWA(シーアンドシー ブレックファスト オキナワ),900-0014,沖縄県那覇市松尾2-9-6 タカミネビル1F,0989279295,URL:https://www.ccbokinawa.com
Cafe Bibliotic Hello!(カフェ ビブリオティック ハロー),604-0951,京都府京都市中京区二条通柳馬場東入ル晴明町650,0752318625,
Le Petitmec IMADEGAWA(ル プチメック イマデガワ),602-8448,京都府京都市上京区元北小路町159,0754321444,
北野坂にしむら珈琲店,650-0003,兵庫県神戸市中央区山本通2-1-20,0782422467,
鼎雲茶倉,231-0023,神奈川県横浜市中区山下町146,0452275385,
水信フルーツパーラーラボ,231-0062,神奈川県横浜市中区桜木町1-1-7 Colette-Mare 2F,0452289297,※当店ではモバイルオーダーを導入しております。土・日・祝日はお一人様一品以上、フードメニューのご注文をいただくようお願い申し上げます。(ワンフードオーダー制)
おいもカフェ金糸雀,248-0006,神奈川県鎌倉市小町2-10-10 小町TIビル1F,0467224908,
ブンブン紅茶店,248-0017,神奈川県鎌倉市佐助1-13-4,0467252866,※ベビーカーでの入店不可
スターバックスコーヒー 富士川サービスエリア(下り線)店,421-3305,静岡県富士市岩淵1348-3東名高速道路富士川サービスエリア(下り線),0545562277,
スターバックスコーヒー 神戸メリケンパーク店,650-0042,兵庫県神戸市中央区波止場町2-4,0783350557,
道後の町屋,790-0842,愛媛県松山市道後湯之町14-26,0899868886,
スターバックスコーヒー 目黒セントラルスクエア店,141-0021,東京都品川区上大崎3-1-1,0354477107,
CAFE LA RUCHE GALLERY&SHOP(カフェ ラ リューシュ ギャラリーアンドショップ),879-5102,大分県由布市湯布院町川上岳本1592-1,0977288500,
LE MUSEE DE H KANAZAWA(ル ミュゼ ドゥ アッシュ カナザワ),920-0963,石川県金沢市出羽町2-1 石川県立美術館内,0762046100,
Pacific BAKERY,248-0025,神奈川県鎌倉市七里ガ浜東3丁目1-6,0467403332,
fu+cafe(フゥ カフェ),920-0961,石川県金沢市香林坊1-1-1 大和香林坊店 5F,0762201452,
喫茶去 かつて,506-0846,岐阜県高山市上三之町92,0577341511,
カフェラ 大丸神戸店,650-0037,兵庫県神戸市中央区明石町40大丸神戸店1F,0783927227,
ブルーボトルコーヒー 渋谷カフェ,150-0041,東京都渋谷区神南1-7-3 渋谷区立北谷公園内,,
原宿乃豆柴カフェ,150-0001,東京都渋谷区神宮前1-6-10 3F,,
ブリュワーズ コーヒー&バー,107-0052,東京都港区赤坂1-12-33 ANAインターコンチネンタルホテル東京3F,0335051185,
NOA CAFE (ノアカフェ) 銀座店,104-0061,東京都中央区銀座5-8-5 ニューギンザビル10号館B1,0335748324,
城崎ジェラートカフェChaya,669-6101,兵庫県豊岡市城崎町湯島857,0796294858,
コナズ珈琲足立店,121-0064,東京都足立区保木間3丁目31,0358311030,
スイーツパラダイス 新宿店,160-0022,東京都新宿区新宿3-26-6 新宿FFビルB1F,0359258876,
TABLES CAFE タブレスカフェ,542-0085,大阪府大阪市中央区心斎橋筋2-5-15 クロスホテル大阪1F,0662142001,
桜丘カフェ,150-0031,東京都渋谷区桜丘町23-3 篠田ビル1F,0357283242,
Ginger&Star cafe ジンジャー&スターカフェ,170-0013,東京都豊島区東池袋2-57-2,05014242881,
浅草豆花大王,111-0032,東京都台東区浅草4-43-4,0358494580,
Banks cafe&dining渋谷,150-0002,東京都渋谷区渋谷3-26-17 Duplex 1F,0364271175,
いちごや cafe TANNAL,819-1301,福岡県糸島市志摩吉田1640-2,0923382949,
幸せのパンケーキ吉祥寺,180-0004,東京都武蔵野市吉祥寺本町1-8-5 レンガ館モール301,0422212222,
JAIME,107-0052,東京都港区赤坂6丁目16-4,0364355683,
宇治園 裏参道ガーデン店,150-0001,東京都渋谷区神宮前4-15-2 1F 壱番,,
Sulbingcafe,169-0073,東京都新宿区百人町2-3-20 ビション新大久保駅前 1・2F,0362055440,
Kew,616-8017,京都府京都市右京区龍安寺五反田町15,0754060763,
スターバックス コーヒー 虎ノ門アルセアタワー店,105-0001,東京都港区虎ノ門2-2-3虎ノ門アルセアタワー 1階,0355449346,
らくごカフェ,101-0051,東京都千代田区神田神保町2-3 神田古書センター 5F,0362689818,
LATTEGRAPHIC自由が丘店,152-0035,東京都目黒区自由が丘1丁目8-18,0364212242,
